,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
334,az,f,college,5536.39,52220.0,70.0,1.0,personal auto,four-door car,336.0
335,az,m,high school or below,2840.85,0.0,74.0,0.0,personal auto,two-door car,402.45
336,ca,m,college,8082.88,53554.0,67.0,0.0,personal auto,four-door car,327.02
337,ca,m,bachelor,5254.73,34476.0,67.0,1.0,corporate auto,four-door car,5.4
338,az,f,bachelor,5116.24,0.0,70.0,0.0,personal auto,four-door car,131.4
339,ca,m,college,3034.65,68205.0,76.0,0.0,personal auto,two-door car,99.38
340,ca,f,high school or below,8024.9,0.0,119.0,1.0,personal auto,suv,856.8
341,ca,m,high school or below,18211.14,53690.0,154.0,0.0,personal auto,suv,739.2
342,or,m,high school or below,5121.56,0.0,72.0,0.0,personal auto,four-door car,518.4
343,ca,f,high school or below,2150.18,0.0,61.0,0.0,personal auto,four-door car,292.8
344,ca,f,high school or below,5595.39,74454.0,71.0,0.0,personal auto,four-door car,340.8
345,nv,f,bachelor,7562.82,0.0,73.0,0.0,personal auto,four-door car,350.4
346,or,m,high school or below,5385.85,29664.0,71.0,0.0,personal auto,four-door car,340.8
347,wa,f,doctor,2678.06,72450.0,66.0,0.0,corporate auto,four-door car,84.22
348,nv,f,bachelor,9422.57,47272.0,79.0,3.0,personal auto,four-door car,64.55
349,or,f,college,3605.86,21585.0,92.0,0.0,corporate auto,four-door car,441.6
350,ca,f,college,7762.59,23827.0,106.0,2.0,personal auto,four-door car,37.91
351,az,f,college,23444.9,69906.0,74.0,2.0,corporate auto,four-door car,202.86
352,ca,f,high school or below,2558.18,0.0,72.0,0.0,corporate auto,four-door car,345.6
353,wa,m,master,2654.38,73196.0,66.0,1.0,personal auto,four-door car,85.81
354,wa,m,bachelor,2549.79,72217.0,6464.0,0.0,personal auto,four-door car,91.15
355,ca,m,high school or below,2969.59,46131.0,74.0,0.0,personal auto,two-door car,355.2
356,or,f,master,4363.12,54514.0,109.0,3.0,personal auto,suv,286.23
357,ca,f,high school or below,5884.31,0.0,161.0,0.0,personal auto,suv,1159.2
358,nv,f,college,5272.19,96668.0,66.0,0.0,personal auto,four-door car,316.8
359,ca,m,doctor,5509.9,78879.0,69.0,1.0,personal auto,four-door car,466.57
360,nv,m,college,16313.68,0.0,69.0,0.0,personal auto,four-door car,331.2
361,az,f,bachelor,5678.05,0.0,76.0,0.0,personal auto,four-door car,364.8
362,ca,f,bachelor,12101.21,0.0,112.0,0.0,personal auto,sports car,1252.41
363,or,m,bachelor,2453.57,29735.0,69.0,0.0,personal auto,four-door car,331.2
364,ca,m,high school or below,5075.66,23082.0,65.0,0.0,special auto,four-door car,312.0
365,az,m,bachelor,3214.98,53984.0,80.0,0.0,corporate auto,four-door car,421.48
366,ca,f,college,12275.34,52135.0,156.0,0.0,personal auto,suv,430.51
367,ca,f,college,2722.21,17576.0,71.0,0.0,corporate auto,four-door car,398.5
368,or,f,bachelor,2457.44,29486.0,62.0,0.0,personal auto,four-door car,7.65
369,or,f,master,3554.85,58557.0,88.0,0.0,corporate auto,four-door car,55.51
370,ca,m,bachelor,4929.55,25632.0,63.0,0.0,personal auto,two-door car,351.27
371,ca,f,high school or below,8036.45,0.0,112.0,0.0,personal auto,sports car,806.4
372,az,m,bachelor,4276.92,18768.0,68.0,3.0,corporate auto,four-door car,647.45
373,ca,f,bachelor,33473.35,33190.0,106.0,0.0,personal auto,suv,508.8
374,or,f,master,5960.58,47945.0,74.0,0.0,personal auto,two-door car,128.44
375,az,m,college,44795.47,58778.0,126.0,0.0,special auto,suv,302.03
376,ca,f,high school or below,3832.12,15192.0,100.0,0.0,personal auto,suv,480.0
377,ca,f,bachelor,6837.93,51859.0,171.0,0.0,personal auto,suv,1003.16
378,nv,f,high school or below,5285.27,23422.0,72.0,0.0,personal auto,two-door car,518.4
379,ca,f,college,3096.51,21604.0,79.0,0.0,corporate auto,four-door car,379.2
380,az,m,college,3589.71,79298.0,90.0,0.0,personal auto,four-door car,244.36
381,az,f,bachelor,2582.41,76731.0,64.0,0.0,special auto,four-door car,201.46
382,wa,m,college,3403.92,38460.0,88.0,1.0,personal auto,four-door car,91.55
383,az,f,college,13575.68,48534.0,115.0,1.0,personal auto,suv,552.0
384,wa,m,doctor,3436.13,30817.0,88.0,0.0,corporate auto,four-door car,91.83
385,or,f,college,28685.83,48412.0,104.0,0.0,personal auto,suv,707.43
386,wa,m,bachelor,4502.68,68798.0,114.0,0.0,personal auto,suv,92.92
387,or,m,bachelor,6183.11,23712.0,85.0,0.0,personal auto,four-door car,376.13
388,ca,m,college,3873.65,28142.0,105.0,0.0,personal auto,sports car,701.71
389,ca,f,master,18929.33,72196.0,68.0,0.0,personal auto,four-door car,152.18
390,ca,m,master,5553.3,68197.0,69.0,0.0,personal auto,four-door car,176.82
391,ca,m,bachelor,5011.26,75248.0,63.0,0.0,corporate auto,four-door car,104.45
392,ca,f,college,10442.45,0.0,98.0,0.0,personal auto,four-door car,941.72
393,nv,m,bachelor,2199.62,0.0,65.0,1.0,personal auto,two-door car,468.0
394,wa,f,master,5123.17,89879.0,63.0,0.0,personal auto,two-door car,94.03
395,or,m,high school or below,7484.31,46998.0,96.0,0.0,corporate auto,four-door car,460.8
396,or,m,bachelor,2613.02,57099.0,67.0,0.0,personal auto,two-door car,67.86
397,az,f,bachelor,9080.64,33897.0,114.0,0.0,corporate auto,suv,539.84
398,nv,f,high school or below,13770.98,59207.0,116.0,0.0,personal auto,four-door car,556.8
399,or,m,high school or below,2876.82,40171.0,73.0,0.0,personal auto,four-door car,350.4
400,wa,m,doctor,5408.91,80192.0,67.0,0.0,personal auto,four-door car,95.19
401,wa,m,high school or below,6770.31,74422.0,85.0,1.0,personal auto,four-door car,95.34
402,or,m,college,24143.88,0.0,87.0,0.0,special auto,four-door car,626.4
403,az,f,college,3538.06,0.0,67.0,5.0,personal auto,four-door car,321.6
404,nv,f,bachelor,29091.24,34226.0,244.0,0.0,personal auto,luxury suv,494.4
405,ca,f,high school or below,19834.2,65989.0,123.0,1.0,personal auto,suv,115.55
406,or,m,high school or below,4731.37,30686.0,61.0,0.0,corporate auto,four-door car,19.94
407,ca,f,master,35537.85,0.0,113.0,0.0,personal auto,sports car,799.93
408,az,f,high school or below,34611.38,20090.0,109.0,0.0,personal auto,sports car,523.2
409,ca,m,high school or below,20216.31,0.0,183.0,0.0,personal auto,luxury suv,878.4
410,or,m,college,13976.52,77094.0,176.0,0.0,personal auto,suv,444.47
411,ca,f,college,5904.09,97413.0,73.0,0.0,personal auto,four-door car,268.82
412,or,f,master,5595.84,79189.0,69.0,0.0,corporate auto,four-door car,331.2
413,ca,f,high school or below,2294.3,0.0,62.0,0.0,personal auto,two-door car,297.6
414,az,f,college,6273.91,18577.0,86.0,0.0,personal auto,four-door car,412.8
415,or,f,college,3726.73,0.0,112.0,1.0,special auto,sports car,806.4
416,wa,m,high school or below,2656.71,62777.0,67.0,0.0,personal auto,two-door car,101.29
417,or,m,bachelor,5110.68,0.0,74.0,0.0,corporate auto,four-door car,532.8
418,nv,m,college,7126.6,17483.0,183.0,0.0,personal auto,luxury car,1317.6
419,or,m,master,4601.63,84394.0,114.0,0.0,personal auto,suv,691.41
420,or,m,college,9155.24,0.0,127.0,0.0,personal auto,sports car,804.81
421,or,f,college,14808.06,41440.0,62.0,1.0,personal auto,four-door car,297.6
422,az,m,high school or below,8901.68,0.0,136.0,1.0,personal auto,sports car,1090.86
423,or,f,college,5734.6,98132.0,71.0,0.0,personal auto,two-door car,50.59
424,or,f,high school or below,4177.7,0.0,112.0,0.0,personal auto,four-door car,537.6
425,ca,m,bachelor,27776.29,88220.0,230.0,0.0,personal auto,luxury car,151.53
426,az,f,master,10364.35,58327.0,129.0,0.0,personal auto,suv,347.08
427,or,m,master,7851.9,25950.0,66.0,0.0,personal auto,two-door car,271.7
428,or,m,high school or below,4772.94,20993.0,133.0,0.0,corporate auto,suv,638.4
429,or,m,high school or below,14226.5,65726.0,177.0,0.0,corporate auto,suv,849.6
430,wa,m,bachelors,2875.43,84768.0,72.0,0.0,personal auto,two-door car,110.48
431,wa,f,bachelor,5041.3,36234.0,63.0,0.0,personal auto,four-door car,113.53
432,ca,m,college,4362.93,58842.0,110.0,0.0,personal auto,four-door car,528.0
433,or,f,master,9624.52,25629.0,124.0,2.0,corporate auto,sports car,595.2
434,wa,f,college,21914.41,77311.0,181.0,0.0,personal auto,suv,113.61
435,ca,m,doctor,6948.42,0.0,196.0,2.0,personal auto,luxury suv,1337.06
436,wa,m,high school or below,2471.53,95697.0,61.0,0.0,personal auto,two-door car,114.27
437,or,f,bachelor,21903.91,22254.0,79.0,0.0,personal auto,four-door car,125.19
438,nv,m,high school or below,9028.82,65974.0,113.0,0.0,personal auto,sports car,235.22
439,or,f,college,5303.76,0.0,76.0,0.0,personal auto,four-door car,395.34
440,wa,m,high school or below,20708.26,92079.0,65.0,1.0,corporate auto,four-door car,114.8
441,nv,m,high school or below,5123.77,0.0,74.0,0.0,personal auto,two-door car,772.8
442,or,m,college,9492.34,0.0,132.0,0.0,personal auto,suv,633.6
443,or,f,high school or below,8204.86,0.0,73.0,0.0,personal auto,four-door car,350.4
444,az,f,college,9877.3,67752.0,131.0,4.0,personal auto,sports car,168.52
445,ca,f,bachelor,4815.01,25398.0,64.0,0.0,corporate auto,four-door car,307.2
446,ca,m,high school or below,6277.01,0.0,88.0,0.0,personal auto,four-door car,633.6
447,ca,m,high school or below,8260.64,33321.0,105.0,0.0,special auto,suv,504.0
448,nv,m,bachelor,2549.45,0.0,78.0,0.0,corporate auto,four-door car,845.65
449,wa,,college,11318.09,38923.0,99.0,2.0,personal auto,four-door car,115.73
450,or,f,bachelor,3803.92,20325.0,100.0,0.0,personal auto,sports car,668.29
451,or,m,bachelor,8635.4,13129.0,117.0,0.0,personal auto,suv,700.9
452,or,f,high school or below,5510.56,0.0,73.0,0.0,personal auto,four-door car,525.6
453,nv,m,master,3585.88,49080.0,91.0,0.0,corporate auto,four-door car,25.3
454,nv,m,college,4889.25,42536.0,63.0,0.0,personal auto,four-door car,375.33
455,or,m,bachelor,2756.94,29926.0,74.0,0.0,corporate auto,four-door car,418.23
456,nv,m,doctor,3289.55,0.0,86.0,0.0,corporate auto,two-door car,398.24
457,ca,f,bachelor,10937.18,21450.0,138.0,0.0,personal auto,sports car,938.51
458,ca,m,high school or below,7375.57,33345.0,65.0,0.0,corporate auto,four-door car,338.62
459,ca,f,bachelor,10110.78,15752.0,90.0,0.0,corporate auto,two-door car,339.34
460,or,f,high school or below,5119.41,40169.0,65.0,1.0,personal auto,four-door car,302.82
461,ca,f,college,8533.83,26049.0,113.0,1.0,personal auto,suv,619.17
462,nv,m,college,2224.77,0.0,68.0,0.0,personal auto,four-door car,326.4
463,az,m,doctor,8042.8,55411.0,100.0,0.0,personal auto,sports car,259.56
464,or,m,college,2554.44,12459.0,70.0,0.0,personal auto,four-door car,336.0
465,or,m,bachelor,18073.94,64620.0,76.0,1.0,personal auto,two-door car,364.8
466,ca,m,bachelor,2430.51,83140.0,61.0,0.0,corporate auto,four-door car,179.16
467,or,f,bachelor,3167.66,0.0,92.0,0.0,corporate auto,four-door car,662.4
468,az,f,bachelor,5465.6,54422.0,68.0,0.0,corporate auto,four-door car,75.5
469,ca,m,college,10357.51,68309.0,131.0,0.0,corporate auto,suv,306.98
470,ca,m,high school or below,2537.81,56621.0,65.0,2.0,personal auto,four-door car,84.03
471,az,f,college,2821.95,38977.0,70.0,0.0,special auto,four-door car,139.49
472,az,m,bachelor,7757.13,0.0,111.0,0.0,corporate auto,two-door car,607.45
473,az,m,high school or below,4079.13,0.0,114.0,0.0,corporate auto,two-door car,631.12
474,az,f,college,5955.54,0.0,83.0,0.0,personal auto,four-door car,628.02
475,or,f,bachelor,14158.61,83235.0,70.0,0.0,personal auto,two-door car,336.0
476,nv,m,college,8487.24,0.0,74.0,0.0,personal auto,two-door car,426.66
477,az,m,college,6285.48,32390.0,80.0,0.0,personal auto,four-door car,91.42
478,or,f,high school or below,11473.48,66538.0,95.0,0.0,personal auto,two-door car,317.84
479,wa,f,college,4942.63,23285.0,65.0,0.0,personal auto,two-door car,118.45
480,or,m,bachelor,23594.68,76358.0,66.0,0.0,personal auto,four-door car,86.46
481,wa,m,master,2572.51,21104.0,66.0,0.0,personal auto,four-door car,118.45
482,az,f,college,5380.9,55350.0,67.0,0.0,personal auto,four-door car,321.6
483,ca,f,college,4770.55,12964.0,65.0,0.0,personal auto,two-door car,362.77
484,az,f,master,6756.65,33288.0,86.0,2.0,personal auto,four-door car,221.86
485,az,f,college,5936.01,0.0,84.0,0.0,personal auto,four-door car,980.17
486,az,f,bachelor,3570.76,56168.0,88.0,0.0,personal auto,four-door car,614.68
487,ca,m,college,6019.96,0.0,92.0,0.0,personal auto,four-door car,662.4
488,or,m,high school or below,5426.86,23105.0,69.0,0.0,personal auto,two-door car,331.2
489,or,f,master,2730.31,36218.0,68.0,0.0,personal auto,four-door car,145.25
490,ca,f,high school or below,4982.68,52275.0,62.0,0.0,corporate auto,four-door car,374.24
491,or,f,college,8769.27,49665.0,74.0,0.0,personal auto,four-door car,355.2
492,nv,m,high school or below,4220.61,32471.0,110.0,0.0,personal auto,two-door car,528.0
493,az,m,high school or below,11537.51,0.0,86.0,1.0,corporate auto,two-door car,619.2
494,ca,f,master,5887.18,62773.0,73.0,0.0,personal auto,four-door car,80.67
495,ca,f,college,4700.58,76694.0,117.0,0.0,personal auto,suv,561.6
496,or,m,high school or below,10963.96,55687.0,276.0,0.0,personal auto,luxury suv,1324.8
497,az,f,high school or below,2523.17,0.0,70.0,0.0,personal auto,four-door car,504.0
498,nv,m,doctor,3757.8,36633.0,96.0,1.0,personal auto,four-door car,460.8
499,or,m,high school or below,12941.73,77060.0,106.0,0.0,personal auto,suv,468.57
500,nv,f,bachelor,3764.47,92600.0,94.0,0.0,corporate auto,two-door car,842.44
501,ca,m,high school or below,6889.56,0.0,66.0,0.0,personal auto,four-door car,475.2
502,nv,m,college,3623.45,0.0,111.0,2.0,corporate auto,suv,1171.93
503,az,m,college,7582.11,64801.0,64.0,0.0,personal auto,four-door car,268.47
504,or,f,college,8277.75,45257.0,103.0,0.0,corporate auto,two-door car,494.4
505,ca,m,high school or below,2576.46,26854.0,66.0,0.0,personal auto,four-door car,475.2
506,or,f,college,8205.39,85840.0,102.0,2.0,corporate auto,suv,138.72
507,or,f,doctor,19582.47,26463.0,72.0,0.0,corporate auto,four-door car,345.6
508,nv,f,bachelor,6481.53,30689.0,81.0,0.0,personal auto,four-door car,467.25
509,or,m,high school or below,2599.31,29590.0,66.0,0.0,corporate auto,two-door car,467.5
510,or,f,college,9830.34,25965.0,253.0,0.0,personal auto,luxury suv,1214.4
511,or,m,bachelor,10442.65,17269.0,139.0,0.0,personal auto,suv,667.2
512,or,m,college,36057.54,90330.0,137.0,3.0,corporate auto,sports car,192.09
513,ca,f,high school or below,8470.04,0.0,113.0,0.0,corporate auto,suv,619.97
514,ca,f,high school or below,8278.79,0.0,110.0,0.0,personal auto,four-door car,1002.78
515,ca,f,high school or below,4788.93,0.0,67.0,1.0,personal auto,two-door car,321.6
516,az,f,bachelor,3088.0,18558.0,80.0,0.0,special auto,four-door car,384.0
517,az,m,bachelor,4443.74,46384.0,113.0,0.0,corporate auto,four-door car,251.77
518,or,f,high school or below,7984.09,0.0,72.0,0.0,personal auto,two-door car,866.21
519,or,f,college,7180.97,42303.0,180.0,0.0,personal auto,luxury suv,1210.92
520,ca,f,bachelor,15656.03,71731.0,130.0,0.0,corporate auto,suv,599.65
521,or,m,high school or below,5780.18,51066.0,74.0,0.0,corporate auto,four-door car,787.99
522,ca,m,college,20714.94,0.0,203.0,0.0,corporate auto,luxury car,2027.72
523,nv,f,bachelor,5337.35,0.0,86.0,3.0,personal auto,four-door car,619.2
524,az,m,college,5050.83,0.0,69.0,0.0,personal auto,two-door car,72.85
525,az,f,high school or below,5116.62,26173.0,68.0,1.0,corporate auto,four-door car,449.82
526,or,m,bachelor,7268.74,24445.0,63.0,0.0,personal auto,two-door car,302.4
527,or,m,college,2616.61,72302.0,66.0,0.0,personal auto,two-door car,316.8
528,or,m,high school or below,3738.44,27208.0,102.0,0.0,personal auto,suv,489.6
529,ca,f,master,2725.36,36650.0,69.0,1.0,special auto,four-door car,56.6
530,az,m,college,5453.86,30855.0,68.0,0.0,corporate auto,four-door car,259.06
531,az,f,bachelor,6846.15,0.0,95.0,0.0,personal auto,two-door car,456.0
532,or,m,master,6172.91,99960.0,76.0,0.0,corporate auto,four-door car,364.8
533,az,f,bachelor,10346.32,0.0,98.0,0.0,personal auto,four-door car,470.4
534,nv,f,bachelor,6997.01,55873.0,88.0,0.0,personal auto,four-door car,299.36
535,az,f,high school or below,4196.26,18052.0,111.0,0.0,personal auto,four-door car,699.17
536,or,f,high school or below,7858.11,28937.0,104.0,2.0,personal auto,suv,117.96
537,or,f,high school or below,6064.34,0.0,86.0,0.0,personal auto,four-door car,545.24
538,ca,m,college,17497.52,0.0,73.0,0.0,personal auto,two-door car,350.4
539,or,m,doctor,8970.65,12829.0,118.0,0.0,personal auto,suv,328.23
540,or,f,master,5923.12,92163.0,73.0,0.0,personal auto,two-door car,66.57
541,or,m,high school or below,35850.6,17588.0,192.0,0.0,personal auto,luxury car,1382.4
542,wa,f,bachelor,8709.85,41546.0,111.0,0.0,corporate auto,four-door car,121.31
543,az,m,college,13309.34,0.0,127.0,0.0,personal auto,suv,609.6
544,ca,m,high school or below,4528.5,70340.0,113.0,0.0,special auto,four-door car,542.4
545,or,f,high school or below,2791.91,0.0,74.0,0.0,personal auto,four-door car,532.8
546,wa,m,high school or below,4434.41,34549.0,111.0,0.0,personal auto,four-door car,125.93
547,az,m,college,7996.01,93459.0,99.0,0.0,personal auto,four-door car,655.41
548,az,m,bachelor,5129.74,86148.0,65.0,2.0,personal auto,four-door car,312.0
549,ca,f,bachelor,5697.18,27048.0,72.0,0.0,corporate auto,four-door car,345.6
550,or,f,college,9217.13,73259.0,115.0,0.0,personal auto,suv,673.34
551,or,f,college,10208.93,35482.0,129.0,0.0,corporate auto,suv,619.2
552,or,f,master,4170.69,29462.0,107.0,1.0,personal auto,suv,513.6
553,or,f,college,4505.41,67801.0,115.0,1.0,personal auto,suv,23.81
554,ca,m,high school or below,3107.57,0.0,94.0,4.0,personal auto,two-door car,451.2
555,az,m,high school or below,5528.66,16042.0,73.0,0.0,personal auto,two-door car,350.4
556,ca,m,high school or below,5045.87,28056.0,64.0,1.0,personal auto,four-door car,307.2
557,ca,m,high school or below,2962.72,16495.0,85.0,3.0,corporate auto,four-door car,408.0
558,ca,f,master,8665.96,41163.0,108.0,0.0,corporate auto,suv,231.92
559,az,f,college,11413.44,0.0,161.0,1.0,personal auto,sports car,772.8
560,ca,m,bachelor,15488.43,33799.0,109.0,3.0,corporate auto,suv,664.98
561,wa,f,college,8861.15,90125.0,110.0,0.0,corporate auto,suv,128.65
562,or,f,bachelor,5934.74,87747.0,147.0,1.0,personal auto,suv,46.49
563,nv,m,college,3543.23,35695.0,90.0,0.0,personal auto,four-door car,432.0
564,ca,m,master,3490.03,90985.0,87.0,0.0,personal auto,four-door car,78.09
565,ca,f,college,3683.1,0.0,101.0,0.0,corporate auto,sports car,564.47
566,ca,m,college,5989.77,66839.0,154.0,0.0,personal auto,sports car,739.2
567,ca,f,high school or below,12500.84,0.0,165.0,0.0,personal auto,suv,792.0
568,or,f,bachelor,8609.16,79090.0,107.0,0.0,corporate auto,suv,289.04
569,or,m,bachelor,2497.46,24825.0,64.0,0.0,personal auto,two-door car,155.94
570,ca,m,college,7019.18,26806.0,63.0,0.0,personal auto,four-door car,302.4
571,or,f,college,5387.93,56835.0,67.0,0.0,personal auto,two-door car,326.55
572,or,f,bachelor,6165.56,0.0,88.0,0.0,special auto,two-door car,653.66
573,ca,m,bachelor,2730.2,46135.0,69.0,0.0,personal auto,four-door car,103.94
574,az,f,bachelor,5162.12,0.0,73.0,0.0,personal auto,four-door car,809.53
575,or,f,high school or below,7937.06,22862.0,67.0,0.0,personal auto,two-door car,321.6
576,or,f,high school or below,8608.16,21450.0,110.0,2.0,personal auto,sports car,528.0
577,or,m,bachelor,2632.55,95854.0,65.0,0.0,personal auto,two-door car,312.0
578,or,f,bachelor,7785.0,44897.0,99.0,1.0,personal auto,four-door car,580.73
579,wa,m,high school or below,21639.84,64455.0,108.0,0.0,personal auto,suv,133.74
580,or,f,master,4980.82,53265.0,62.0,0.0,personal auto,four-door car,238.01
581,az,f,high school or below,7457.24,0.0,198.0,1.0,personal auto,luxury car,1577.67
